treatment,label,n_plants,mean_imaging_days,start_canopy_kpx,peak_canopy_kpx,end_canopy_kpx,end_over_peak,pct_change_start_to_end
MR_plusMicrobe_flight,+ECM · Flight,4,8.9,6.35,14.0,10.0,0.71,57.4
R_minusMicrobe_flight,−ECM · Flight,2,6.1,11.72,11.86,11.4,0.96,-2.7
M_plusMicrobe_control,+ECM · Ground,5,8.9,12.92,19.76,14.39,0.73,11.4
X_minusMicrobe_control,−ECM · Ground,2,6.6,14.1,15.94,15.06,0.94,6.8
