filename,species,mycorrhiza,condition,treatment,plant,captured,frame,source_path
TREES_M_m2-1_01.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-1,2018-05-27 17:11:28 UTC,1/6,"/M, +M control/m2-1 jpegs/N1-2018-05-27-17_11_28_result.jpg"
TREES_M_m2-1_02.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-1,2018-05-29 04:03:53 UTC,2/6,"/M, +M control/m2-1 jpegs/N1-2018-05-29-04_03_53_result.jpg"
TREES_M_m2-1_03.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-1,2018-05-30 14:56:16 UTC,3/6,"/M, +M control/m2-1 jpegs/N1-2018-05-30-14_56_16_result.jpg"
TREES_M_m2-1_04.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-1,2018-06-01 01:48:38 UTC,4/6,"/M, +M control/m2-1 jpegs/N1-2018-06-01-01_48_38_result.jpg"
TREES_M_m2-1_05.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-1,2018-06-02 12:41:00 UTC,5/6,"/M, +M control/m2-1 jpegs/N1-2018-06-02-12_41_00_result.jpg"
TREES_M_m2-1_06.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-1,2018-06-03 23:32:58 UTC,6/6,"/M, +M control/m2-1 jpegs/N1-2018-06-03-23_32_58_result.jpg"
TREES_M_m2-2_01.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-2,2018-05-27 15:48:00 UTC,1/6,"/M, +M control/m2-2 jpegs/N1-2018-05-27-15_48_00_result.jpg"
TREES_M_m2-2_02.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-2,2018-05-29 03:04:27 UTC,2/6,"/M, +M control/m2-2 jpegs/N1-2018-05-29-03_04_27_result.jpg"
TREES_M_m2-2_03.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-2,2018-05-30 13:56:51 UTC,3/6,"/M, +M control/m2-2 jpegs/N1-2018-05-30-13_56_51_result.jpg"
TREES_M_m2-2_04.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-2,2018-06-01 00:49:13 UTC,4/6,"/M, +M control/m2-2 jpegs/N1-2018-06-01-00_49_13_result.jpg"
TREES_M_m2-2_05.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-2,2018-06-02 11:41:35 UTC,5/6,"/M, +M control/m2-2 jpegs/N1-2018-06-02-11_41_35_result.jpg"
TREES_M_m2-2_06.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-2,2018-06-03 22:33:33 UTC,6/6,"/M, +M control/m2-2 jpegs/N1-2018-06-03-22_33_33_result.jpg"
TREES_M_m2-3_01.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-3,2018-05-29 21:34:19 UTC,1/6,"/M, +M control/m2-3 jpegs/N1-2018-05-29-21_34_19_result(1).jpg"
TREES_M_m2-3_02.jpg,Populus tremula,+ECM (ectomycorrhizal),Ground,M · +ECM · Ground,m2-3,2018-05-30 18:05:08 UTC,2/6,"/M, +M control/m2-3 jpegs/N1-2018-05-30-18_05_08_result.jpg"
